"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 05 20:13:44 +0000 2023","1732131160333979920","In case you haven't heard   THERE'S A LOT OF COVID OUT THERE. #onpoli #Canada #COVID19 https://t.co/S9hw4vW2W2","5","12","90","247","en","1246634087349194752","1732131160333979920","canadastrong","https://twitter.com/canadastrong/status/1732131160333979920","https://pbs.twimg.com/media/GAnEGCHXoAAbEhR.jpg","Orangeville, Ontario"
"Mon Dec 04 10:50:14 +0000 2023","1731626961275900258","I have been sick with #COVID19 for 10 days now. I was able to avoid this disease since its beginning  but it finally got me  as it did with so many people around the world. I never thought that this disease was not severe. I lost my grandmother to it in 2021; she had an extensive… https://t.co/wtvxXIaEiO","55","294","801","2769","en","39303168","1731626961275900258","DaniBeckman","https://twitter.com/DaniBeckman/status/1731626961275900258","https://pbs.twimg.com/media/GAf4jxFXkAEwqXd.jpg","Sacramento, CA"
"Wed Dec 06 11:30:04 +0000 2023","1732361761926361378","Children's author Micheal Rosen denounces Johnson governments COVID policies  including Johnson's statement that old people could die because they had had "a good innings" #COVID19  #covidinquiryUK  #covidenquiry https://t.co/k8JLkIKdfe","3","2","98","168","en","1138486153861095426","1732361761926361378","Sep_london","https://twitter.com/Sep_london/status/1732361761926361378","https://pbs.twimg.com/ext_tw_video_thumb/1732361037251239936/pu/img/dTY_DWEZBXp3c_cJ.jpg","London, England"
"Sat Dec 02 23:07:00 +0000 2023","1731087598813344008","Why did the Canadian government decide not to commission inquiries into their COVID-19 response  with broad public input? Are they hiding something?  Listen as Ches Crosbie details 3 indisputable facts about the COVID-19 vaccines.  #NCI #Canada #NeitherSafeNorEffective #Covid19 https://t.co/y9GEKcIjlj","45","46","579","886","en","1600346636592775168","1731087598813344008","Inquiry_Canada","https://twitter.com/Inquiry_Canada/status/1731087598813344008","https://pbs.twimg.com/ext_tw_video_thumb/1731027375834488832/pu/img/o92xABrJYXGL0_TE.jpg","Ottawa, Canada"
"Fri Dec 01 14:07:47 +0000 2023","1730589513632694420","The #EU has declared the #Covid19 Vaccines were approved illegally.  Accountability is inevitable. #WeThePeople are not letting up. ✅ https://t.co/3415mHkmbl","220","229","3248","5661","en","1518644583109910528","1730589513632694420","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1730589513632694420","https://pbs.twimg.com/amplify_video_thumb/1730587569287512065/img/rjI4zlER5lX23ri8.jpg","Saskatoon, Saskatchewan"
"Tue Dec 05 18:44:14 +0000 2023","1732108634270605407","How far am I willing to go to avoid Covid?   Put it this way  I’m prepared to Tom Hanks “Castway” out one of my teeth  rather than go to the dentist.  So yeah  pretty far.   #Covid19 #NotMild  #BringBackMasks #LongCovid #CovidIsAirborne #SarsCov2 #TomHanks","11","186","49","658","en","1375470391","1732108634270605407","keetmuise","https://twitter.com/keetmuise/status/1732108634270605407","",""
"Mon Dec 04 16:02:48 +0000 2023","1731705622930833868","Not only are the #COVID19 #vaccines not stopping infection and not stopping transmission  they are damaging immune systems.  The double vaccinated are 27 times more likely to get reinfected compared to unvaccinated people.   #ExcessDeaths #Pfizer #Moderna #mRNA #myocarditis… https://t.co/xCWOTE7osJ","44","51","523","812","en","990043728344748036","1731705622930833868","JimmyJoeYam","https://twitter.com/JimmyJoeYam/status/1731705622930833868","https://pbs.twimg.com/ext_tw_video_thumb/1731705091437035520/pu/img/dsK7I11FSVUAnf-o.jpg",""
"Sat Dec 02 02:48:17 +0000 2023","1730780901087326238","How Much Longer Will I take Covid Precautions and Wear A Mask?   #Covid19 #MaskUp #LongCovid #SarsCov2 https://t.co/dmAVNiDFhE","41","221","210","1049","en","1375470391","1730780901087326238","keetmuise","https://twitter.com/keetmuise/status/1730780901087326238","https://pbs.twimg.com/ext_tw_video_thumb/1730780772531941376/pu/img/BD8RUmqyPynFduFl.jpg",""
"Thu Dec 07 02:07:17 +0000 2023","1732582521701798199","Who would have ever guessed that Twitter would have to assume the job of Public Health. It is sheer insanity. #COVID19 #Covid #LongCovid","4","9","31","160","en","15396523","1732582521701798199","lucyveepee","https://twitter.com/lucyveepee/status/1732582521701798199","","Ontario, Canada"
"Thu Nov 30 16:31:54 +0000 2023","1730263392416391585","Navy Medical Officer reveals an absolutely shocking statistic - Heart Failures have increased 973% since the #COVID19 #vaccine was forced upon military personnel.  We have all the data  we know it’s just going to get worse from here on out  it’s time for the tribunals to start.… https://t.co/MAOJDjzfZE","23","25","182","269","en","1518644583109910528","1730263392416391585","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1730263392416391585","https://pbs.twimg.com/amplify_video_thumb/1730263306865102848/img/TicIC06wFv1P69YM.jpg","Saskatoon, Saskatchewan"
"Sat Dec 02 16:20:55 +0000 2023","1730985404013097013","Guess what causes the new ‘epidemic’ of Mycoplasma pneumonia  which is also termed “white lung syndrome”?  Drum roll please 🥁🥁🥁🥁….  It’s caused by the #covid19 #vaccines as revealed by #Pfizer in their own documentation.   Check out page 7 of Pfizer’s Adverse Events Report… https://t.co/IdWpMc8iqR","307","354","5059","7729","en","1518644583109910528","1730985404013097013","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1730985404013097013","https://pbs.twimg.com/media/GAWtjymXsAApZ2s.jpg","Saskatoon, Saskatchewan"
"Sun Dec 03 16:45:23 +0000 2023","1731353951436472580","If you are pregnant  make sure you get vaccinated against #COVID19. It is recommended in every pregnancy.  https://t.co/J24IdagZVY https://t.co/v7UbrBTfU7","595","2532","225","491","en","14499829","1731353951436472580","WHO","https://twitter.com/WHO/status/1731353951436472580","https://pbs.twimg.com/media/GAcBFhMW0AAX7ZB.jpg","Geneva, Switzerland"
"Mon Dec 04 23:20:50 +0000 2023","1731815855183343943","“We had a race between vaccines &amp; variants… To protect us  we have to protect others… not just others in the world  but also protect the most vulnerable… in the U.S."   Unsung hero @rajpanjabi  former WH senior director  about lessons during #COVID19.  https://t.co/pzg721sO9h","5","15","105","376","en","18831926","1731815855183343943","DrEricDing","https://twitter.com/DrEricDing/status/1731815855183343943","https://pbs.twimg.com/media/GAicFZxWEAEn9Ug.jpg","Washington DC | Virginia"
"Sat Dec 02 21:06:53 +0000 2023","1731057371386962303","The First Major News Network to admit that COVID-19 can Damage the Immune System!   Thank you Dr Darien Sutton on #GoodMorningAmerica   #Covid19 #NotMild  #BringBackMasks #LongCovid #CovidIsAirborne #SarsCov2 #ImmuneDamage https://t.co/1tzrmoSBdW","86","84","1321","3505","en","1375470391","1731057371386962303","keetmuise","https://twitter.com/keetmuise/status/1731057371386962303","https://pbs.twimg.com/ext_tw_video_thumb/1731057354228019200/pu/img/PMTRA2mvdvhdaskQ.jpg",""
